subject,list,item,list_type,category,intrusion,position,trial_type
51,3,Globe Theater,heavy,loc,[],25.0,study
51,3,Indianapolis Speedway,heavy,loc,[],26.0,study
51,3,Masada,heavy,loc,[],27.0,study
51,3,Kate Winslet,heavy,cel,0,1.0,recall
51,3,Barack Obama,heavy,cel,0,2.0,recall
51,3,cigar,heavy,obj,0,3.0,recall
51,3,Globe Theater,heavy,loc,0,4.0,recall
51,3,Vin Diesel,heavy,cel,0,5.0,recall
51,3,kleenex,heavy,obj,0,6.0,recall
51,3,Indianapolis Speedway,heavy,loc,0,7.0,recall
51,3,Atomium,heavy,loc,0,8.0,recall
51,3,Kobe Bryant,heavy,cel,0,9.0,recall
51,3,Anne Hathaway,heavy,cel,0,10.0,recall
51,4,Morgan Freeman,light,cel,[],1.0,study
51,4,Hugh Jackman,light,cel,[],2.0,study
51,4,Jim Carrey,light,cel,[],3.0,study
51,4,vacuum cleaner,light,obj,[],4.0,study
51,4,tripod,light,obj,[],5.0,study
51,4,highlighter,light,obj,[],6.0,study
51,4,Oxford,light,loc,[],7.0,study
51,4,Chicago,light,loc,[],8.0,study
51,4,Tahiti,light,loc,[],9.0,study
51,4,hammer,light,obj,[],10.0,study
51,4,shovel,light,obj,[],11.0,study
51,4,book,light,obj,[],12.0,study
51,4,Tobey Maguire,light,cel,[],13.0,study
51,4,Jonah Hill,light,cel,[],14.0,study
51,4,Elton John,light,cel,[],15.0,study
51,4,Florida Keys,light,loc,[],16.0,study
51,4,Alamo,light,loc,[],17.0,study
51,4,Walk of Fame,light,loc,[],18.0,study
51,4,earrings,light,obj,[],19.0,study
51,4,briefcase,light,obj,[],20.0,study
51,4,mascara,light,obj,[],21.0,study
51,4,Barcelona Cathedral,light,loc,[],22.0,study
51,4,Alcatraz,light,loc,[],23.0,study
51,4,Timbuktu,light,loc,[],24.0,study
51,4,Jennifer Lawrence,light,cel,[],25.0,study
51,4,Uma Thurman,light,cel,[],26.0,study
51,4,Steven Spielberg,light,cel,[],27.0,study
51,4,Hugh Jackman,light,cel,0,1.0,recall
51,4,Uma Thurman,light,cel,0,2.0,recall
51,4,Jennifer Lawrence,light,cel,0,3.0,recall
51,4,Barcelona Cathedral,light,loc,0,4.0,recall
51,4,highlighter,light,obj,0,5.0,recall
51,4,earrings,light,obj,0,6.0,recall
51,4,briefcase,light,obj,0,7.0,recall
51,4,mascara,light,obj,0,8.0,recall
51,4,vacuum cleaner,light,obj,0,9.0,recall
51,4,Jonah Hill,light,cel,0,10.0,recall
51,4,Tobey Maguire,light,cel,0,11.0,recall
51,4,Jim Carrey,light,cel,0,12.0,recall
51,4,Chicago,light,loc,0,13.0,recall
51,4,Timbuktu,light,loc,0,14.0,recall
51,4,Tahiti,light,loc,0,15.0,recall
51,5,thermometer,heavy,obj,[],1.0,study
51,5,sink,heavy,obj,[],2.0,study
51,5,ladder,heavy,obj,[],3.0,study
51,5,Bill Gates,heavy,cel,[],4.0,study
51,5,David Beckham,heavy,cel,[],5.0,study
51,5,Tina Fey,heavy,cel,[],6.0,study
51,5,Times Square,heavy,loc,[],7.0,study
51,5,Universal Studios,heavy,loc,[],8.0,study
51,5,Colosseum,heavy,loc,[],9.0,study
51,5,candle,heavy,obj,[],10.0,study
51,5,whistle,heavy,obj,[],11.0,study
51,5,medal,heavy,obj,[],12.0,study
51,5,Sylvester Stallone,heavy,cel,[],13.0,study
51,5,Ellen Page,heavy,cel,[],14.0,study
51,5,Reese Witherspoon,heavy,cel,[],15.0,study
51,5,Versailles,heavy,loc,[],16.0,study
51,5,Salt Flats,heavy,loc,[],17.0,study
51,5,Cinderella Castle,heavy,loc,[],18.0,study
51,5,Alicia Keys,heavy,cel,[],19.0,study
51,5,Jay-Z,heavy,cel,[],20.0,study
51,5,Andy Samberg,heavy,cel,[],21.0,study
51,5,Ayers Rock,heavy,loc,[],22.0,study
