,condition,subject,model,control,massed,spaced,mixed
241,mixed,15,CMR-DE,635.2097880788021,422.7589992733866,415.5988269246286,631.2834685482402
242,mixed,16,CMR,571.6275294573596,384.98105129036935,340.14046911266547,494.83180747667603
243,mixed,16,CMR-DE,571.8796064647956,390.2959751812995,340.06808680793245,511.1765875735623
244,mixed,17,CMR,602.5832244968972,328.75080680617293,330.8505076938392,543.9364586171026
245,mixed,17,CMR-DE,608.7685644700407,324.42368771566487,333.20627953014133,545.213173307405
246,mixed,18,CMR,1386.8209080278577,1448.4308915629422,1421.412824529586,1193.318252383051
247,mixed,18,CMR-DE,1393.5271478540194,1432.7968496843775,1409.6747285059782,1190.7538911384563
248,mixed,19,CMR,392.46628886989595,304.1241695095281,354.7541366397695,340.7912097297561
249,mixed,19,CMR-DE,392.0748184146109,303.5375641645549,355.37316211291966,341.8433252581818
250,mixed,20,CMR,589.3450152339233,457.14667789925556,488.42495575238956,642.9412065250924
251,mixed,20,CMR-DE,609.0857703284614,500.2210230422982,557.510972441778,663.9984810585337
252,mixed,21,CMR,428.22012369848676,390.8134232720731,252.66741064074017,232.88244735039126
253,mixed,21,CMR-DE,429.36518143375207,398.10789299627584,254.35049929534557,230.45149538633274
254,mixed,22,CMR,393.84150893561764,340.1226638910441,343.4413476007891,388.6854526096868
255,mixed,22,CMR-DE,380.73290549167984,349.59129084525233,349.8631253302725,388.74915457328416
256,mixed,23,CMR,430.5958633814629,323.8416827486485,333.2004284983183,464.7908735593966
257,mixed,23,CMR-DE,430.439702395102,310.1649325356368,319.51201737744344,467.17316273099743
258,mixed,24,CMR,1455.6608774805236,898.0531422653787,799.6712187393309,966.3890545414346
259,mixed,24,CMR-DE,1442.0305240433672,913.2873945125589,810.3429848788874,976.4152981387136
260,mixed,25,CMR,-0.0,-0.0,-0.0,-0.0
261,mixed,25,CMR-DE,-0.0,-0.0,-0.0,-0.0
262,mixed,26,CMR,405.5891664101707,268.5834302624893,267.89825234041746,312.48907788276074
263,mixed,26,CMR-DE,407.716479506631,267.42362468806755,267.81058084077966,315.0896352017628
264,mixed,27,CMR,327.5858709167084,261.6054638404339,265.0930677960739,381.594417780713
265,mixed,27,CMR-DE,322.5228994036736,291.4932456630481,291.0675858839252,383.73469165038284
266,mixed,28,CMR,709.1444870561766,638.0788157434692,744.2697812773553,827.3739455823713
267,mixed,28,CMR-DE,710.7863931462632,637.3886433550932,744.4122382795235,832.9210101441286
268,mixed,29,CMR,424.54474921564884,331.8366668010983,302.432905736284,399.55645275054485
269,mixed,29,CMR-DE,429.9699483309331,328.0706923429899,298.7574454821251,403.1926924009379
270,mixed,30,CMR,456.34723340066637,239.76194407335583,374.729860155824,397.96127576587924
271,mixed,30,CMR-DE,463.5713970462486,241.81589393015258,373.66381922210206,403.8214301910476
272,mixed,31,CMR,660.0809828346207,402.28968791251646,406.32480034488407,621.8473204330974
273,mixed,31,CMR-DE,660.3261239468884,401.7183421515076,407.07537923806314,618.436681685548
274,mixed,32,CMR,475.90071715942594,376.5490506718192,352.7663630214106,485.7441569779476
275,mixed,32,CMR-DE,476.9799562376715,374.72102599561674,351.73956065291145,485.82419628587377
276,mixed,33,CMR,602.5323259600382,360.02252568085896,428.6777509614151,595.407775429768
277,mixed,33,CMR-DE,595.9890405485376,358.3216635140967,428.6036836336886,579.2093338020061
278,mixed,34,CMR,1447.9831460833484,626.0379233802685,876.000818415965,1046.0330245852188
279,mixed,34,CMR-DE,1456.8770530284992,634.7065206745945,910.5561206434661,1058.3045544023753
