subject,list,item,input,output,study,recall,repeat,intrusion,category,list_type,item_string,item_string_index
2,1,22.0,23.0,,True,False,0,False,obj,heavy,onion,165
2,1,23.0,24.0,,True,False,0,False,obj,heavy,thermometer,107
2,1,24.0,25.0,,True,False,0,False,cel,heavy,Leonardo DiCaprio,204
2,1,25.0,26.0,14.0,True,True,0,False,cel,heavy,Jackie Chan,127
2,1,26.0,27.0,5.0,True,True,0,False,cel,heavy,George Clooney,60
2,2,0.0,1.0,14.0,True,True,0,False,cel,light,Kristen Stewart,2
2,2,1.0,2.0,11.0,True,True,0,False,cel,light,Ashton Kutcher,35
2,2,2.0,3.0,16.0,True,True,0,False,cel,light,Jamie Foxx,47
2,2,3.0,4.0,10.0,True,True,0,False,obj,light,tent,63
2,2,4.0,5.0,,True,False,0,False,obj,light,satellite dish,87
2,2,5.0,6.0,5.0,True,True,0,False,obj,light,dollar,61
2,2,6.0,7.0,,True,False,0,False,loc,light,Redwood Forest,74
2,2,7.0,8.0,,True,False,0,False,loc,light,Carnegie Hall,101
2,2,8.0,9.0,,True,False,0,False,loc,light,Grand Central Station,199
2,2,9.0,10.0,,True,False,0,False,cel,light,David Beckham,155
2,2,10.0,11.0,3.0,True,True,0,False,cel,light,Scarlett Johansson,36
2,2,11.0,12.0,1.0,True,True,0,False,cel,light,Tina Fey,143
2,2,12.0,13.0,6.0,True,True,0,False,obj,light,shelf,207
2,2,13.0,14.0,,True,False,0,False,obj,light,highlighter,3
2,2,14.0,15.0,,True,False,0,False,obj,light,tripod,118
2,2,15.0,16.0,7.0,True,True,0,False,loc,light,Mecca,17
2,2,16.0,17.0,8.0,True,True,0,False,loc,light,Trevi Fountain,157
2,2,17.0,18.0,17.0,True,True,0,False,loc,light,Rio de Janeiro,56
2,2,18.0,19.0,,True,False,0,False,cel,light,Anne Hathaway,91
2,2,19.0,20.0,2.0,True,True,0,False,cel,light,Johnny Depp,46
2,2,20.0,21.0,,True,False,0,False,cel,light,Drew Barrymore,67
2,2,21.0,22.0,18.0,True,True,0,False,loc,light,Hong Kong,168
2,2,22.0,23.0,15.0,True,True,0,False,loc,light,Roman Forum,102
2,2,23.0,24.0,9.0,True,True,0,False,loc,light,Times Square,151
2,2,24.0,25.0,13.0,True,True,0,False,obj,light,box,106
2,2,25.0,26.0,4.0,True,True,0,False,obj,light,mango,145
2,2,26.0,27.0,12.0,True,True,0,False,obj,light,glass,25
2,3,0.0,1.0,1.0,True,True,0,False,cel,heavy,Andy Samberg,68
2,3,1.0,2.0,,True,False,0,False,cel,heavy,Christian Bale,129
2,3,2.0,3.0,,True,False,0,False,cel,heavy,Bill Gates,18
2,3,3.0,4.0,,True,False,0,False,obj,heavy,blender,189
2,3,4.0,5.0,4.0,True,True,0,False,obj,heavy,earrings,188
2,3,5.0,6.0,,True,False,0,False,obj,heavy,kleenex,37
2,3,6.0,7.0,,True,False,0,False,loc,heavy,Hoover Dam,100
2,3,7.0,8.0,,True,False,0,False,loc,heavy,Globe Theater,117
2,3,8.0,9.0,,True,False,0,False,loc,heavy,Great Wall of China,136
2,3,9.0,10.0,,True,False,0,False,cel,heavy,Britney Spears,83
2,3,10.0,11.0,10.0,True,True,0,False,cel,heavy,Jay-Z,103
2,3,11.0,12.0,2.0,True,True,0,False,cel,heavy,Angelina Jolie,205
2,3,12.0,13.0,6.0,True,True,0,False,loc,heavy,Prague,214
2,3,13.0,14.0,7.0,True,True,0,False,loc,heavy,Oxford,132
2,3,14.0,15.0,,True,False,0,False,loc,heavy,Colosseum,21
2,3,15.0,16.0,,True,False,0,False,obj,heavy,safe,162
2,3,16.0,17.0,,True,False,0,False,obj,heavy,globe,202
2,3,17.0,18.0,3.0,True,True,0,False,obj,heavy,mascara,113
2,3,18.0,19.0,,True,False,0,False,loc,heavy,North Pole,137
2,3,19.0,20.0,5.0,True,True,0,False,loc,heavy,Kyoto,22
