subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
39,8,262.94087522199203,free_2_start_drift_rate_Semantic_CMR,0.17403218866278064,0.15269842375617332,0.5637540811037277,0.3086209551946758,0.5438166319108343,0.7200836150823743,0.7763933432639417,0.6584533539832013,4.320596745604199,15.461939829264836,0.00248792268453224,0.5542839002703008,0.5390550585397929,2.6753396887911842,0.4549261638995835,2.1768765556621177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,361.794521476308,free_2_start_drift_rate_Semantic_CMR,0.9151420068839935,0.20090066217580438,0.8138211178230579,0.6425725848242787,0.982368697918043,0.41042605333698107,0.4432288241933544,0.7187864585589758,1.7841302503486176,1.6868188797682677,0.0010545193444120304,0.38790794019179486,0.2557686046602381,3.376180685180412,0.4889927886797026,1.7254573964581024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,278.37797436883534,free_2_start_drift_rate_Semantic_CMR,0.6936493146280929,0.8435243719458236,0.7786099802845545,0.8307370353355925,0.818889961982219,0.34607142424441995,0.29314973305414815,0.7765653672971365,0.08055738567853155,30.22877945454745,0.0151084711482678,0.16768139132683402,0.24194097618648414,7.333148745414202,0.4928390752783976,0.3244821010432899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,229.5041078187458,free_2_start_drift_rate_Semantic_CMR,0.40069577063471323,0.5323527396750539,0.7211872245362563,0.13431816649425626,0.7268542611297117,0.5060924223950138,0.3982333138622734,0.1743938188650756,7.615055094216913,0.21811292826377837,0.0444809559900855,0.13741522708446485,0.050623506785697714,4.654354405284168,0.5253902566760115,6.1834953969686755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,213.4577638304208,free_2_start_drift_rate_Semantic_CMR,0.6764950792607966,0.049908754478461215,0.29730853242417443,0.8526949203854142,0.06227612410042077,0.028550969192734088,0.833352323222184,0.6108476689938611,5.201122152257803,96.82368086522706,0.014003705709445868,0.39351782749970354,0.17660198622480028,1.9228061168826969,0.06953226344602786,0.9109618246465248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,116.9873704131254,free_2_start_drift_rate_Semantic_CMR,0.5119793220700951,0.16797534257356683,0.17795128137677219,0.9986434911899064,0.16450246076674452,0.0667755717337633,0.6822603428934616,0.9316786727582151,0.9128249675558919,0.5443606803608674,0.03270186802707109,0.46303913439882916,0.4187827923415881,2.9176480604048374,0.19615593671468984,0.1791807685003448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,216.23192561902474,free_2_start_drift_rate_Semantic_CMR,0.8944107110394492,0.18666610476283585,0.8653345085931787,0.09191552511269202,0.16232191021547243,0.4373218396801404,0.6476105330474262,0.7201662203448699,1.5608746572396655,31.462416329041552,0.016847131952434147,0.2642490031549931,0.2679932923753361,3.2927782379489074,0.8269878792866674,1.4407983158543747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,301.3452220629816,free_2_start_drift_rate_Semantic_CMR,0.868939177201184,0.024725733734706053,0.024068744410001355,0.26260923399094754,0.7114738616094994,0.3632638500959228,0.767091752606167,0.7235143038866425,12.25097092207483,37.08026058649266,0.004878515077054013,0.3038923744184054,0.25496097498597997,4.8820471322787755,0.09078056873221822,0.3282282220454077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,304.8978546879789,free_2_start_drift_rate_Semantic_CMR,0.6068577847960043,0.38948680146138853,0.4717801458926642,0.23446505869469336,0.5533137911207473,0.21130323292794617,0.49814383764317316,0.5977565904990715,1.0152289162749,39.393215513386835,0.012228611101888165,0.3044402132522368,0.09426834790908067,5.580259197966533,0.25154979695106455,0.3319403089225412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,223.92852350512453,free_2_start_drift_rate_Semantic_CMR,0.5661538486882548,0.43534604351715966,0.7177965739825275,0.07765096427514395,0.06882924917082339,0.19242989900238816,0.9711246169499279,0.19834443834997995,0.1953361875639743,30.28941803208356,0.02051096440387601,0.2796905398689722,0.20223627941283961,4.492135462956965,0.04815290968549557,0.33910882105617723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
