subject,list,item,input,output,study,recall,repeat,intrusion,first_input,condition,prior_list,prior_input
118,2,29,89,,True,False,0,False,89,0.0,,
118,2,29,90,,True,False,0,False,90,0.0,,
118,3,0,1,1.0,True,True,0,False,1,0.0,,
118,3,0,2,,True,False,0,False,2,0.0,,
118,3,0,3,,True,False,0,False,3,0.0,,
118,3,1,4,4.0,True,True,0,False,4,0.0,,
118,3,1,5,,True,False,0,False,5,0.0,,
118,3,1,6,,True,False,0,False,6,0.0,,
118,3,2,7,,True,False,0,False,7,0.0,,
118,3,2,8,,True,False,0,False,8,0.0,,
118,3,2,9,,True,False,0,False,9,0.0,,
118,3,3,10,,True,False,0,False,10,0.0,,
118,3,3,11,,True,False,0,False,11,0.0,,
118,3,3,12,,True,False,0,False,12,0.0,,
118,3,4,13,,True,False,0,False,13,0.0,,
118,3,4,14,,True,False,0,False,14,0.0,,
118,3,4,15,,True,False,0,False,15,0.0,,
118,3,5,16,,True,False,0,False,16,0.0,,
118,3,5,17,,True,False,0,False,17,0.0,,
118,3,5,18,,True,False,0,False,18,0.0,,
118,3,6,19,,True,False,0,False,19,0.0,,
118,3,6,20,,True,False,0,False,20,0.0,,
118,3,6,21,,True,False,0,False,21,0.0,,
118,3,7,22,,True,False,0,False,22,0.0,,
118,3,7,23,,True,False,0,False,23,0.0,,
118,3,7,24,,True,False,0,False,24,0.0,,
118,3,8,25,7.0,True,True,0,False,25,0.0,,
118,3,8,26,,True,False,0,False,26,0.0,,
118,3,8,27,,True,False,0,False,27,0.0,,
118,3,9,28,8.0,True,True,0,False,28,0.0,,
118,3,9,29,,True,False,0,False,29,0.0,,
118,3,9,30,,True,False,0,False,30,0.0,,
118,3,10,31,,True,False,0,False,31,0.0,,
118,3,10,32,,True,False,0,False,32,0.0,,
118,3,10,33,,True,False,0,False,33,0.0,,
118,3,11,34,6.0,True,True,0,False,34,0.0,,
118,3,11,35,,True,False,0,False,35,0.0,,
118,3,11,36,,True,False,0,False,36,0.0,,
118,3,12,37,,True,False,0,False,37,0.0,,
118,3,12,38,,True,False,0,False,38,0.0,,
118,3,12,39,,True,False,0,False,39,0.0,,
118,3,13,40,,True,False,0,False,40,0.0,,
