index,subject,bin,prob,source
3,83,1.0,0.028767123287671233,data
4,83,1.0,,data
5,83,1.0,,data
6,83,1.0,,data
7,83,1.0,,data
8,83,1.0,,data
9,83,1.0,,data
0,84,0.0,0.0912621359223301,data
1,84,0.0,,data
2,84,0.0,,data
3,84,1.0,0.026271186440677965,data
4,84,1.0,,data
5,84,1.0,,data
6,84,1.0,,data
7,84,1.0,,data
8,84,1.0,,data
9,84,1.0,,data
0,85,0.0,0.056433408577878104,data
1,85,0.0,,data
2,85,0.0,,data
3,85,1.0,0.035856573705179286,data
4,85,1.0,,data
5,85,1.0,,data
6,85,1.0,,data
7,85,1.0,,data
8,85,1.0,,data
9,85,1.0,,data
0,86,0.0,0.09959349593495935,data
1,86,0.0,,data
2,86,0.0,,data
3,86,1.0,0.02391118701964133,data
4,86,1.0,,data
5,86,1.0,,data
6,86,1.0,,data
7,86,1.0,,data
8,86,1.0,,data
9,86,1.0,,data
0,87,0.0,0.0976027397260274,data
1,87,0.0,,data
2,87,0.0,,data
3,87,1.0,0.028210838901262063,data
4,87,1.0,,data
5,87,1.0,,data
6,87,1.0,,data
7,87,1.0,,data
8,87,1.0,,data
9,87,1.0,,data
0,89,0.0,0.09831460674157304,data
1,89,0.0,,data
2,89,0.0,,data
3,89,1.0,0.033438485804416405,data
4,89,1.0,,data
5,89,1.0,,data
6,89,1.0,,data
7,89,1.0,,data
8,89,1.0,,data
9,89,1.0,,data
0,90,0.0,0.115625,data
1,90,0.0,,data
2,90,0.0,,data
3,90,1.0,0.02486559139784946,data
4,90,1.0,,data
5,90,1.0,,data
6,90,1.0,,data
7,90,1.0,,data
8,90,1.0,,data
9,90,1.0,,data
0,91,0.0,0.08333333333333333,data
1,91,0.0,,data
2,91,0.0,,data
3,91,1.0,0.02982456140350877,data
4,91,1.0,,data
5,91,1.0,,data
6,91,1.0,,data
7,91,1.0,,data
8,91,1.0,,data
9,91,1.0,,data
0,92,0.0,0.07616707616707617,data
1,92,0.0,,data
2,92,0.0,,data
3,92,1.0,0.029411764705882353,data
4,92,1.0,,data
5,92,1.0,,data
6,92,1.0,,data
7,92,1.0,,data
8,92,1.0,,data
9,92,1.0,,data
0,94,0.0,0.07459677419354839,data
1,94,0.0,,data
2,94,0.0,,data
3,94,1.0,0.03442188879082083,data
4,94,1.0,,data
5,94,1.0,,data
6,94,1.0,,data
7,94,1.0,,data
8,94,1.0,,data
9,94,1.0,,data
0,95,0.0,0.06315789473684211,data
1,95,0.0,,data
2,95,0.0,,data
3,95,1.0,0.028700906344410877,data
4,95,1.0,,data
5,95,1.0,,data
6,95,1.0,,data
7,95,1.0,,data
8,95,1.0,,data
9,95,1.0,,data
0,96,0.0,0.1032258064516129,data
1,96,0.0,,data
2,96,0.0,,data
3,96,1.0,0.026124818577648767,data
4,96,1.0,,data
5,96,1.0,,data
6,96,1.0,,data
7,96,1.0,,data
8,96,1.0,,data
9,96,1.0,,data
0,97,0.0,0.10204081632653061,data
1,97,0.0,,data
2,97,0.0,,data
3,97,1.0,0.020316027088036117,data
4,97,1.0,,data
5,97,1.0,,data
6,97,1.0,,data
7,97,1.0,,data
8,97,1.0,,data
9,97,1.0,,data
0,1,0.0,0.07379026777218975,Base_CMR
1,1,0.0,,Base_CMR
2,1,0.0,,Base_CMR
3,1,1.0,0.04955756180682192,Base_CMR
4,1,1.0,,Base_CMR
5,1,1.0,,Base_CMR
6,1,1.0,,Base_CMR
7,1,1.0,,Base_CMR
8,1,1.0,,Base_CMR
9,1,1.0,,Base_CMR
0,2,0.0,0.056015216357584406,Base_CMR
1,2,0.0,,Base_CMR
2,2,0.0,,Base_CMR
3,2,1.0,0.0506044395771029,Base_CMR
4,2,1.0,,Base_CMR
5,2,1.0,,Base_CMR
6,2,1.0,,Base_CMR
7,2,1.0,,Base_CMR
8,2,1.0,,Base_CMR
9,2,1.0,,Base_CMR
0,3,0.0,0.047619047619047616,Base_CMR
1,3,0.0,,Base_CMR
2,3,0.0,,Base_CMR
3,3,1.0,0.04716842405736677,Base_CMR
4,3,1.0,,Base_CMR
5,3,1.0,,Base_CMR
6,3,1.0,,Base_CMR
7,3,1.0,,Base_CMR
8,3,1.0,,Base_CMR
9,3,1.0,,Base_CMR
0,5,0.0,0.0736199883788495,Base_CMR
1,5,0.0,,Base_CMR
2,5,0.0,,Base_CMR
3,5,1.0,0.0549306625577812,Base_CMR
4,5,1.0,,Base_CMR
5,5,1.0,,Base_CMR
6,5,1.0,,Base_CMR
7,5,1.0,,Base_CMR
8,5,1.0,,Base_CMR
9,5,1.0,,Base_CMR
0,6,0.0,0.057671699951290796,Base_CMR
1,6,0.0,,Base_CMR
2,6,0.0,,Base_CMR
3,6,1.0,0.03920578470662813,Base_CMR
4,6,1.0,,Base_CMR
5,6,1.0,,Base_CMR
6,6,1.0,,Base_CMR
7,6,1.0,,Base_CMR
8,6,1.0,,Base_CMR
9,6,1.0,,Base_CMR
0,7,0.0,0.05854192312953085,Base_CMR
1,7,0.0,,Base_CMR
2,7,0.0,,Base_CMR
