subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
40,8,370.59521748459474,free_2_stop_probability_scale_Semantic_CMR,0.8066520483293308,0.07073383325109839,0.053327849599380195,0.13824237520511223,0.6799004254595126,0.48695760869105764,0.5805057301065806,23.16322378341048,0.5120781049504615,0.006742080510247828,0.026867247684331352,0.24568175864100095,0.03796281281940406,3.189339513800716,0.4466546743983637,5.698368308832987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,279.1508111307312,free_2_stop_probability_scale_Semantic_CMR,0.7519684145833503,0.6561862127858149,0.8627417624499245,0.9479714048723502,0.3100939744064585,0.8337895391767407,0.39727353121179915,0.3117677467271065,82.96150182965286,0.01338781072626083,0.011295019433312958,0.1731902044082947,0.24387142200068013,5.206172160179262,0.5678627083134185,0.3573095144014484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,233.18724050588952,free_2_stop_probability_scale_Semantic_CMR,0.7293570313710085,0.19491708781542494,0.3201525920227459,0.8851372513768365,0.8613827255394436,0.3371953995330164,0.08219738974964919,11.187822927185355,97.76168053807821,0.026441292096329415,0.04584436360070155,0.14406453519292112,0.04945962493667263,5.030962688942793,0.1799113820899557,3.173209957609521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,212.33169237445114,free_2_stop_probability_scale_Semantic_CMR,0.6303861947735167,0.20580924883426263,0.6069303353790889,0.17285129168746535,0.008499946814871257,0.9760960686222603,0.5089798365383098,2.1029641283755622,33.633083715676094,0.0024686147720025184,0.06456338689558322,0.6842354063987242,0.06011720358649027,1.775371348939887,0.003112452142184627,1.4072273879395014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,117.67086346009575,free_2_stop_probability_scale_Semantic_CMR,0.49866335610801493,0.2628370927278456,0.9982063638623789,0.10874383203352328,0.13105443625900443,0.9728535355395257,0.6994881505264429,0.6840628547781478,34.67742083566785,0.02617789567783746,0.04678656654644375,0.44192179691860733,0.39328767403204523,4.594529334708514,0.3941610287379723,0.2534186057662051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,215.8897007967222,free_2_stop_probability_scale_Semantic_CMR,0.9711721878047419,0.40740199974820773,0.8236176944115259,0.9676696503209032,0.3284108397364618,0.5245139503789973,0.6295500392519371,2.0128773643015805,94.93821076105723,0.010758976200055004,0.014061335585540014,0.4094084766033337,0.3326615085097231,2.7695116144322593,0.7808686268702502,0.9083057273446213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,302.95087955988083,free_2_stop_probability_scale_Semantic_CMR,0.9083035710869618,0.05765828368222342,0.5180292295307064,0.6807683062065667,0.42282354374233677,0.3750084814344317,0.7701975578669565,6.567255086272652,21.606990016579186,0.019819951302892547,0.0007898249416358194,0.1641369085912867,0.4451420853705921,6.804111453124535,0.13275459524176098,0.2771890101770573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,305.7377741129471,free_2_stop_probability_scale_Semantic_CMR,0.7116118273277157,0.2560505473397382,0.33269097397309133,0.6128944731759827,0.10214554226055228,0.11950000656177101,0.8972688516765679,1.148419611072363,61.132560877717836,0.04059458511748676,0.03634204472415781,0.17596106721035554,0.02284123526011328,4.419999717070276,0.48364431596631974,0.22527525744635213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,225.56689942319178,free_2_stop_probability_scale_Semantic_CMR,0.6849137422121558,0.1973917559338742,0.14438449107455287,0.8501720925151817,0.22707407849560762,0.7942769388610439,0.3076679706181401,2.0855064911111754,43.71187760191104,0.034932364242924896,0.003812288103644479,0.24713345266215114,0.3437981325029762,3.882103785277266,0.01655707823467678,0.4080104421649242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,181.42643377579844,free_2_stop_probability_scale_Semantic_CMR,0.9529850574505548,0.07875085020979505,0.18196970240015437,0.6572876604352046,0.022815371333581136,0.4270869846339329,0.8506187719687033,12.42670657595825,58.3422342248764,0.0048607129298997576,0.028809228879132676,0.7542172067896367,0.21673712815104906,1.439634697796114,0.030799653933497095,0.32910043704784986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,309.85298384024696,free_2_stop_probability_scale_Semantic_CMR,0.5645575876521477,0.10008231706253311,0.6827789964419266,0.8202304405589261,0.3008645786042348,0.13224401779971126,0.13199948834920194,1.8380162977350492,66.57376349042237,0.01596784571215062,0.005270347009822823,0.23327891958016758,0.23370513125963413,3.8846754632972744,0.15494893215918626,0.7315999833594138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,272.42293878666214,free_2_stop_probability_scale_Semantic_CMR,0.6157157435285574,0.12724691348733136,0.9977818884667482,0.9845297470100618,0.3851508720446505,0.5631929581990083,0.4163905110937697,1.7727292684057119,82.35836445338559,0.06351350802893091,0.007623935195469389,0.13662048079199263,0.20257451353505385,4.295113511087064,0.42195077828184335,0.5407405902558011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,256.1087317977068,free_2_stop_probability_scale_Semantic_CMR,0.7556202050055814,0.015301162659377088,0.281714687732055,0.9834114022739486,0.9982958538185734,0.637949615636954,0.25971342023541316,8.623608877518976,39.77801927232811,0.012640473928659746,0.031103897235516875,0.3597605760324676,0.13780685675556548,6.608389472475048,0.09466636683547153,0.18995805191422122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
