index,subject,input,recall,source
10,112,11,0.03571428571428571,data
11,112,12,0.14285714285714285,data
12,112,13,0.03571428571428571,data
13,112,14,0.10714285714285714,data
14,112,15,0.32142857142857145,data
15,112,16,0.2857142857142857,data
0,113,1,0.0,data
1,113,2,0.0,data
2,113,3,0.0,data
3,113,4,0.0,data
4,113,5,0.0,data
5,113,6,0.0,data
6,113,7,0.0,data
7,113,8,0.0,data
8,113,9,0.0,data
9,113,10,0.0,data
10,113,11,0.0,data
11,113,12,0.03571428571428571,data
12,113,13,0.0,data
13,113,14,0.03571428571428571,data
14,113,15,0.14285714285714285,data
15,113,16,0.7857142857142857,data
0,114,1,0.10714285714285714,data
1,114,2,0.0,data
2,114,3,0.07142857142857142,data
3,114,4,0.0,data
4,114,5,0.0,data
5,114,6,0.0,data
6,114,7,0.0,data
7,114,8,0.0,data
8,114,9,0.0,data
9,114,10,0.0,data
10,114,11,0.0,data
11,114,12,0.03571428571428571,data
12,114,13,0.07142857142857142,data
13,114,14,0.10714285714285714,data
14,114,15,0.21428571428571427,data
15,114,16,0.39285714285714285,data
0,115,1,0.0,data
1,115,2,0.0,data
2,115,3,0.0,data
3,115,4,0.0,data
4,115,5,0.0,data
5,115,6,0.0,data
6,115,7,0.0,data
7,115,8,0.0,data
8,115,9,0.0,data
9,115,10,0.0,data
10,115,11,0.0,data
11,115,12,0.0,data
12,115,13,0.0,data
13,115,14,0.0,data
14,115,15,0.25,data
15,115,16,0.75,data
0,117,1,0.0,data
1,117,2,0.0,data
2,117,3,0.0,data
3,117,4,0.0,data
4,117,5,0.0,data
5,117,6,0.0,data
6,117,7,0.0,data
7,117,8,0.0,data
8,117,9,0.03571428571428571,data
9,117,10,0.0,data
10,117,11,0.25,data
11,117,12,0.17857142857142858,data
12,117,13,0.17857142857142858,data
13,117,14,0.07142857142857142,data
14,117,15,0.21428571428571427,data
15,117,16,0.07142857142857142,data
0,118,1,0.0,data
1,118,2,0.0,data
2,118,3,0.0,data
3,118,4,0.0,data
4,118,5,0.0,data
5,118,6,0.0,data
6,118,7,0.0,data
7,118,8,0.0,data
8,118,9,0.0,data
9,118,10,0.0,data
10,118,11,0.0,data
11,118,12,0.0,data
12,118,13,0.0,data
13,118,14,0.0,data
14,118,15,0.03571428571428571,data
15,118,16,0.9642857142857143,data
0,119,1,0.0,data
1,119,2,0.0,data
2,119,3,0.0,data
3,119,4,0.0,data
4,119,5,0.03571428571428571,data
5,119,6,0.03571428571428571,data
6,119,7,0.0,data
7,119,8,0.0,data
8,119,9,0.0,data
9,119,10,0.03571428571428571,data
10,119,11,0.0,data
11,119,12,0.03571428571428571,data
12,119,13,0.0,data
13,119,14,0.0,data
14,119,15,0.10714285714285714,data
15,119,16,0.75,data
0,120,1,0.07142857142857142,data
1,120,2,0.07142857142857142,data
2,120,3,0.0,data
3,120,4,0.03571428571428571,data
4,120,5,0.03571428571428571,data
5,120,6,0.07142857142857142,data
6,120,7,0.0,data
7,120,8,0.0,data
8,120,9,0.0,data
9,120,10,0.07142857142857142,data
10,120,11,0.0,data
11,120,12,0.0,data
12,120,13,0.03571428571428571,data
13,120,14,0.10714285714285714,data
14,120,15,0.42857142857142855,data
15,120,16,0.07142857142857142,data
0,122,1,0.10714285714285714,data
1,122,2,0.03571428571428571,data
2,122,3,0.03571428571428571,data
3,122,4,0.0,data
4,122,5,0.0,data
5,122,6,0.03571428571428571,data
6,122,7,0.0,data
7,122,8,0.03571428571428571,data
8,122,9,0.0,data
9,122,10,0.0,data
10,122,11,0.0,data
11,122,12,0.0,data
12,122,13,0.07142857142857142,data
13,122,14,0.10714285714285714,data
14,122,15,0.07142857142857142,data
15,122,16,0.5,data
0,123,1,0.0,data
1,123,2,0.0,data
2,123,3,0.0,data
3,123,4,0.0,data
4,123,5,0.0,data
5,123,6,0.0,data
6,123,7,0.0,data
7,123,8,0.0,data
8,123,9,0.0,data
9,123,10,0.0,data
10,123,11,0.0,data
11,123,12,0.0,data
12,123,13,0.0,data
13,123,14,0.0,data
14,123,15,0.07142857142857142,data
15,123,16,0.9285714285714286,data
0,124,1,0.0,data
1,124,2,0.0,data
2,124,3,0.0,data
3,124,4,0.0,data
4,124,5,0.0,data
5,124,6,0.0,data
6,124,7,0.0,data
7,124,8,0.0,data
8,124,9,0.0,data
9,124,10,0.0,data
10,124,11,0.0,data
11,124,12,0.0,data
