subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_delay_drift_rate,1_semantic_scale
49,8,180.9771825073999,free_3_stop_probability_scale_Semantic_CMR,0.9965513940091039,0.20774530099787475,0.641047394580825,0.8178099162171635,0.10753478550863538,0.42100302351363056,0.5865180193683751,11.481528546397058,48.9837772411336,0.020635714136343575,0.03803551573260566,0.524621455311741,0.17031745297074252,3.2582010454906323,2.1237405538511025,0.10557819600552193,0.1918122087207328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,302.9993696673011,free_3_stop_probability_scale_Semantic_CMR,0.6238848035362585,0.33175154529248607,0.5752303451062295,0.9768295483319015,0.773446314290232,0.4025208145081684,0.8868560712350346,0.1027340016139604,82.07607317984787,0.008416048371098106,0.0016991393533554722,0.2608077052415245,0.3265347795192044,9.434610386003522,6.443572472898377,0.1700394211067538,0.6168447336819671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,274.0120005020825,free_3_stop_probability_scale_Semantic_CMR,0.47710308965693393,0.061107477826041194,0.5948823793198807,0.9060076009680265,0.6658796744067053,0.47290271831975417,0.6998188856127227,0.7144921449927356,84.08858403713707,0.09071373514166824,0.011856883654150678,0.13254465134990287,0.18651523937627576,7.13094110876799,8.218551570284284,0.37427161106898116,0.820971591380933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,255.57747875822113,free_3_stop_probability_scale_Semantic_CMR,0.8021917366619814,0.12149405359622267,0.4361922612252177,0.9987389253237088,0.5888347471635355,0.8385769144835955,0.4280200968412825,2.072297783067455,27.71761040667685,0.02383724276204885,0.010022062707749524,0.30217370265518984,0.2906559168721401,6.7280171562399484,4.484044560112881,0.3134533771073037,0.07694455718827697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,262.7823801519455,free_3_stop_probability_scale_Semantic_CMR,0.7353204171059468,0.33228705616036835,0.9351978785839945,0.6842660004332414,0.5135520293334896,0.15626182928227378,0.7178014012591177,4.462198827797877,78.46892253392261,0.01655365220100563,0.01115267670524811,0.1613081199744606,0.29431968692912847,5.347921484787527,7.732287313212862,0.07325342424031805,0.4993250175267461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,216.29217080054818,free_3_stop_probability_scale_Semantic_CMR,0.8794519313570388,0.07782703567998778,0.9269598331196416,0.21228684408821186,0.18618141141083872,0.38689372292858987,0.7835228194753022,2.394448298726928,74.52856840009218,0.015458906263910555,0.03521992963933701,0.3290537234163491,0.16735164494368426,2.584673504975456,1.2493984108913159,0.38672242925357486,0.06446819429714612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8,322.4444859807761,free_3_stop_probability_scale_Semantic_CMR,0.7766380494704939,0.7290724391926686,0.8185619166484706,0.13054499558807697,0.503931825197717,0.6161232827464573,0.7763858029266141,85.23515873300899,0.5957841160897672,0.02749539612489804,0.1024327556650157,0.18610509983839307,0.00940234796987216,1.1763742484310455,2.5099911762580525,0.19606600619069625,7.006692564701764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,8,274.9672330282061,free_3_stop_probability_scale_Semantic_CMR,0.5910517046403033,0.22984131604717983,0.543318705368088,0.7714593911540636,0.5057292519245731,0.5792567523793258,0.1609907850955923,7.193892367995557,0.7159573465147471,0.027242997001736515,0.042810358152271015,0.25056538341392764,0.16253386000917017,4.83147738320292,3.1695270938068463,0.2105541338177473,0.6221662622854157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,8,252.68391188923079,free_3_stop_probability_scale_Semantic_CMR,0.8138082317549611,0.7430343350090345,0.3577745364838264,0.25918629736027704,0.17395111054398907,0.9504024796454007,0.8260620771625854,0.9591490127575035,88.0268644600888,0.015610501853082093,0.023235278327763204,0.22265765959248757,0.2210346223505953,1.2410096942213045,1.623700631459561,0.2182000670795724,7.222935190979568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,8,258.7282915757029,free_3_stop_probability_scale_Semantic_CMR,0.7138157613584581,0.4034211231735198,0.9658163230073407,0.8700596447612147,0.047138777411575454,0.696597188239482,0.7808548857754565,6.7857022669646385,0.036344528028936916,0.06722528334319101,0.025639458625645543,0.1855610818714053,0.15782813972208495,1.448092632275231,2.2532357820809192,0.8165162194886136,4.798180574051788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
