subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
40,8,360.11966018778526,free_primacy_decay_Semantic_CMR,0.605429270295076,0.7431497545697975,0.9736375276800261,0.5436407147635725,0.5169223823263245,0.3720450380698345,2.154669675572042,22.502548744567285,0.32450874079577907,0.003555433741394379,0.22358128112676304,4.300523764142508,0.4696043932925779,0.9699219595067397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,278.9490561544869,free_primacy_decay_Semantic_CMR,0.7631719154184565,0.42030482836666194,0.916185337464511,0.14462207128117938,0.839711481277452,0.394020850992153,0.6252284803591053,24.826318150371286,87.87131025503962,0.013790287566610993,0.2124102805938941,3.454222391012349,0.7084654363508335,0.23181444584102717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,228.54547314514753,free_primacy_decay_Semantic_CMR,0.5513201495371279,0.30520583707057536,0.9673112209788969,0.91894369799293,0.5986527513741947,0.5899178834970118,8.555938552793123,29.220137218254877,0.6166677617418799,0.026755856462283623,0.176056804622581,5.348557158753056,0.25070747705419744,4.5397411709489806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,217.8276456224511,free_primacy_decay_Semantic_CMR,0.709506864799723,0.012645562318464473,0.2149414864961682,0.0254436385915448,0.8186223075321877,0.5350574536665601,4.31332632669583,60.424752217829344,35.6344726816517,0.036616938825161226,0.15025254189622236,1.9033467549791347,0.22568858849949153,1.391725267791679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,123.13402172323698,free_primacy_decay_Semantic_CMR,0.7068117985209782,0.025159097551502307,0.4685241341375487,0.013096542194622085,0.9491964534998578,0.5853571870528393,0.7502809044664787,24.224095899170813,47.26238474762089,0.016805220718688785,0.5770923782459318,1.5733092283611896,0.24977226928040308,0.27197484485638057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,213.3942548409113,free_primacy_decay_Semantic_CMR,0.8886813887610023,0.17270123933910497,0.9820583596370202,0.703998707499846,0.46453143948624465,0.9644666006746475,4.306117632533983,88.31060226860416,67.75800062743309,0.010295478541829828,0.32099462957104663,4.781453865921896,0.7587248007275275,0.5232792074851647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,299.615967641314,free_primacy_decay_Semantic_CMR,0.8810209416791515,0.013580873031982743,0.35120219052139506,0.6639161622510348,0.5341294312791813,0.7569194410457234,22.14964819464437,39.302338054689855,83.79571715965062,0.0021185257746881847,0.37500968540631874,8.168983916958563,0.020585911969208115,0.3118990788083167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,310.07488837492116,free_primacy_decay_Semantic_CMR,0.6197203852833097,0.3605083610175266,0.5888757763395125,0.1700774028926308,0.5312928705222718,0.7162874827458486,1.2866527141621305,7.280922107295126,38.99663201154932,0.021166055857430255,0.11289319434043588,4.959079399166257,0.11098676857943574,0.15751515702920038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,228.29896088782107,free_primacy_decay_Semantic_CMR,0.607912956858364,0.23205672637014116,0.21450224423370698,0.043339307426221614,0.5374742117285956,0.23313751796798657,2.194833905952127,67.02054874200887,23.064355916913243,0.01471387798926681,0.26027941715102176,2.437877116690562,0.07007729009675293,0.43933516897410435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,185.24478423454235,free_primacy_decay_Semantic_CMR,0.9622876089113402,0.3617902215959197,0.6839907027273741,0.2821814364869849,0.961366416673402,0.7567108105743543,4.969007142225131,96.07318130476179,27.660080265568975,0.055435549545471585,0.16416961978343725,2.953086045558128,0.025668263651255907,0.40592244640219466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
