index,subject,bin,prob,source
8,78,1.0,,data
9,78,1.0,,data
0,79,0.0,0.09765625,data
1,79,0.0,,data
2,79,0.0,,data
3,79,1.0,0.028708133971291867,data
4,79,1.0,,data
5,79,1.0,,data
6,79,1.0,,data
7,79,1.0,,data
8,79,1.0,,data
9,79,1.0,,data
0,81,0.0,0.11470588235294117,data
1,81,0.0,,data
2,81,0.0,,data
3,81,1.0,0.02454780361757106,data
4,81,1.0,,data
5,81,1.0,,data
6,81,1.0,,data
7,81,1.0,,data
8,81,1.0,,data
9,81,1.0,,data
0,82,0.0,0.09836065573770492,data
1,82,0.0,,data
2,82,0.0,,data
3,82,1.0,0.027950310559006212,data
4,82,1.0,,data
5,82,1.0,,data
6,82,1.0,,data
7,82,1.0,,data
8,82,1.0,,data
9,82,1.0,,data
0,83,0.0,0.07643312101910828,data
1,83,0.0,,data
2,83,0.0,,data
3,83,1.0,0.03751803751803752,data
4,83,1.0,,data
5,83,1.0,,data
6,83,1.0,,data
7,83,1.0,,data
8,83,1.0,,data
9,83,1.0,,data
0,84,0.0,0.0821256038647343,data
1,84,0.0,,data
2,84,0.0,,data
3,84,1.0,0.026156941649899398,data
4,84,1.0,,data
5,84,1.0,,data
6,84,1.0,,data
7,84,1.0,,data
8,84,1.0,,data
9,84,1.0,,data
0,85,0.0,0.05194805194805195,data
1,85,0.0,,data
2,85,0.0,,data
3,85,1.0,0.036053130929791274,data
4,85,1.0,,data
5,85,1.0,,data
6,85,1.0,,data
7,85,1.0,,data
8,85,1.0,,data
9,85,1.0,,data
0,86,0.0,0.10852713178294573,data
1,86,0.0,,data
2,86,0.0,,data
3,86,1.0,0.02,data
4,86,1.0,,data
5,86,1.0,,data
6,86,1.0,,data
7,86,1.0,,data
8,86,1.0,,data
9,86,1.0,,data
0,87,0.0,0.0842911877394636,data
1,87,0.0,,data
2,87,0.0,,data
3,87,1.0,0.029411764705882353,data
4,87,1.0,,data
5,87,1.0,,data
6,87,1.0,,data
7,87,1.0,,data
8,87,1.0,,data
9,87,1.0,,data
0,89,0.0,0.08459214501510574,data
1,89,0.0,,data
2,89,0.0,,data
3,89,1.0,0.03513513513513514,data
4,89,1.0,,data
5,89,1.0,,data
6,89,1.0,,data
7,89,1.0,,data
8,89,1.0,,data
9,89,1.0,,data
0,90,0.0,0.11688311688311688,data
1,90,0.0,,data
2,90,0.0,,data
3,90,1.0,0.023809523809523808,data
4,90,1.0,,data
5,90,1.0,,data
6,90,1.0,,data
7,90,1.0,,data
8,90,1.0,,data
9,90,1.0,,data
0,91,0.0,0.07792207792207792,data
1,91,0.0,,data
2,91,0.0,,data
3,91,1.0,0.03177570093457944,data
4,91,1.0,,data
5,91,1.0,,data
6,91,1.0,,data
7,91,1.0,,data
8,91,1.0,,data
9,91,1.0,,data
0,92,0.0,0.0663265306122449,data
1,92,0.0,,data
2,92,0.0,,data
3,92,1.0,0.03556485355648536,data
4,92,1.0,,data
5,92,1.0,,data
6,92,1.0,,data
7,92,1.0,,data
8,92,1.0,,data
9,92,1.0,,data
0,94,0.0,0.08374384236453201,data
1,94,0.0,,data
2,94,0.0,,data
3,94,1.0,0.02834008097165992,data
4,94,1.0,,data
5,94,1.0,,data
6,94,1.0,,data
7,94,1.0,,data
8,94,1.0,,data
9,94,1.0,,data
0,95,0.0,0.06349206349206349,data
1,95,0.0,,data
2,95,0.0,,data
3,95,1.0,0.024822695035460994,data
4,95,1.0,,data
5,95,1.0,,data
6,95,1.0,,data
7,95,1.0,,data
8,95,1.0,,data
9,95,1.0,,data
0,96,0.0,0.08904109589041095,data
1,96,0.0,,data
2,96,0.0,,data
3,96,1.0,0.030864197530864196,data
4,96,1.0,,data
5,96,1.0,,data
6,96,1.0,,data
7,96,1.0,,data
8,96,1.0,,data
9,96,1.0,,data
0,97,0.0,0.09556313993174062,data
1,97,0.0,,data
2,97,0.0,,data
3,97,1.0,0.019726858877086494,data
4,97,1.0,,data
5,97,1.0,,data
6,97,1.0,,data
7,97,1.0,,data
8,97,1.0,,data
9,97,1.0,,data
0,1,0.0,0.043923865300146414,Base_CMR
1,1,0.0,,Base_CMR
2,1,0.0,,Base_CMR
3,1,1.0,0.04381310587234424,Base_CMR
4,1,1.0,,Base_CMR
5,1,1.0,,Base_CMR
6,1,1.0,,Base_CMR
7,1,1.0,,Base_CMR
8,1,1.0,,Base_CMR
9,1,1.0,,Base_CMR
0,2,0.0,0.04549307714043515,Base_CMR
1,2,0.0,,Base_CMR
2,2,0.0,,Base_CMR
3,2,1.0,0.04447574964781646,Base_CMR
4,2,1.0,,Base_CMR
5,2,1.0,,Base_CMR
6,2,1.0,,Base_CMR
7,2,1.0,,Base_CMR
8,2,1.0,,Base_CMR
9,2,1.0,,Base_CMR
0,3,0.0,0.049295465519511875,Base_CMR
1,3,0.0,,Base_CMR
2,3,0.0,,Base_CMR
3,3,1.0,0.047690479437377024,Base_CMR
4,3,1.0,,Base_CMR
5,3,1.0,,Base_CMR
6,3,1.0,,Base_CMR
7,3,1.0,,Base_CMR
8,3,1.0,,Base_CMR
9,3,1.0,,Base_CMR
0,5,0.0,0.06922682468235428,Base_CMR
1,5,0.0,,Base_CMR
2,5,0.0,,Base_CMR
3,5,1.0,0.05114292891233359,Base_CMR
4,5,1.0,,Base_CMR
5,5,1.0,,Base_CMR
6,5,1.0,,Base_CMR
7,5,1.0,,Base_CMR
8,5,1.0,,Base_CMR
9,5,1.0,,Base_CMR
0,6,0.0,0.05181373038872789,Base_CMR
1,6,0.0,,Base_CMR
2,6,0.0,,Base_CMR
3,6,1.0,0.041778797370626904,Base_CMR
4,6,1.0,,Base_CMR
5,6,1.0,,Base_CMR
6,6,1.0,,Base_CMR
7,6,1.0,,Base_CMR
8,6,1.0,,Base_CMR
9,6,1.0,,Base_CMR
0,7,0.0,0.0574867368754454,Base_CMR
1,7,0.0,,Base_CMR
2,7,0.0,,Base_CMR
3,7,1.0,0.04192273542366685,Base_CMR
4,7,1.0,,Base_CMR
5,7,1.0,,Base_CMR
6,7,1.0,,Base_CMR
7,7,1.0,,Base_CMR
8,7,1.0,,Base_CMR
9,7,1.0,,Base_CMR
0,8,0.0,0.05874190564292322,Base_CMR
1,8,0.0,,Base_CMR
2,8,0.0,,Base_CMR
3,8,1.0,0.033084047347828244,Base_CMR
4,8,1.0,,Base_CMR
5,8,1.0,,Base_CMR
6,8,1.0,,Base_CMR
7,8,1.0,,Base_CMR
8,8,1.0,,Base_CMR
9,8,1.0,,Base_CMR
0,9,0.0,0.06850247081572727,Base_CMR
1,9,0.0,,Base_CMR
2,9,0.0,,Base_CMR
3,9,1.0,0.04153780945354076,Base_CMR
4,9,1.0,,Base_CMR
5,9,1.0,,Base_CMR
6,9,1.0,,Base_CMR
7,9,1.0,,Base_CMR
8,9,1.0,,Base_CMR
9,9,1.0,,Base_CMR
0,10,0.0,0.057422784587671895,Base_CMR
1,10,0.0,,Base_CMR
2,10,0.0,,Base_CMR
3,10,1.0,0.04062554100063477,Base_CMR
4,10,1.0,,Base_CMR
5,10,1.0,,Base_CMR
6,10,1.0,,Base_CMR
7,10,1.0,,Base_CMR
8,10,1.0,,Base_CMR
9,10,1.0,,Base_CMR
0,11,0.0,0.04883362076790415,Base_CMR
1,11,0.0,,Base_CMR
2,11,0.0,,Base_CMR
3,11,1.0,0.046587740918825005,Base_CMR
4,11,1.0,,Base_CMR
5,11,1.0,,Base_CMR
6,11,1.0,,Base_CMR
7,11,1.0,,Base_CMR
8,11,1.0,,Base_CMR
9,11,1.0,,Base_CMR
0,12,0.0,0.062104253277902144,Base_CMR
1,12,0.0,,Base_CMR
2,12,0.0,,Base_CMR
3,12,1.0,0.03493474034990281,Base_CMR
4,12,1.0,,Base_CMR
5,12,1.0,,Base_CMR
6,12,1.0,,Base_CMR
7,12,1.0,,Base_CMR
8,12,1.0,,Base_CMR
9,12,1.0,,Base_CMR
0,13,0.0,0.04897142857142857,Base_CMR
1,13,0.0,,Base_CMR
2,13,0.0,,Base_CMR
3,13,1.0,0.04048501348660163,Base_CMR
4,13,1.0,,Base_CMR
5,13,1.0,,Base_CMR
6,13,1.0,,Base_CMR
7,13,1.0,,Base_CMR
8,13,1.0,,Base_CMR
9,13,1.0,,Base_CMR
0,14,0.0,0.05914449965896911,Base_CMR
1,14,0.0,,Base_CMR
2,14,0.0,,Base_CMR
3,14,1.0,0.05115218677402133,Base_CMR
4,14,1.0,,Base_CMR
5,14,1.0,,Base_CMR
6,14,1.0,,Base_CMR
7,14,1.0,,Base_CMR
8,14,1.0,,Base_CMR
9,14,1.0,,Base_CMR
0,15,0.0,0.04946732954545455,Base_CMR
1,15,0.0,,Base_CMR
2,15,0.0,,Base_CMR
3,15,1.0,0.04750354386517562,Base_CMR
4,15,1.0,,Base_CMR
5,15,1.0,,Base_CMR
6,15,1.0,,Base_CMR
7,15,1.0,,Base_CMR
8,15,1.0,,Base_CMR
9,15,1.0,,Base_CMR
0,16,0.0,0.047333429686370866,Base_CMR
1,16,0.0,,Base_CMR
2,16,0.0,,Base_CMR
3,16,1.0,0.04230000317329356,Base_CMR
4,16,1.0,,Base_CMR
5,16,1.0,,Base_CMR
6,16,1.0,,Base_CMR
7,16,1.0,,Base_CMR
8,16,1.0,,Base_CMR
9,16,1.0,,Base_CMR
0,17,0.0,0.04566229191999665,Base_CMR
1,17,0.0,,Base_CMR
2,17,0.0,,Base_CMR
3,17,1.0,0.046582686611929665,Base_CMR
