subject,list,item,input,output,study,recall,repeat,intrusion,first_input,prior_list,prior_input,list_length
63,7,19,20,5.0,True,True,0,False,20,,,60
63,7,20,21,,True,False,0,False,21,,,60
63,7,21,22,,True,False,0,False,22,,,60
63,7,22,23,,True,False,0,False,23,,,60
63,7,23,24,,True,False,0,False,24,,,60
63,7,24,25,,True,False,0,False,25,,,60
63,7,25,26,,True,False,0,False,26,,,60
63,7,26,27,,True,False,0,False,27,,,60
63,7,27,28,6.0,True,True,0,False,28,,,60
63,7,28,29,,True,False,0,False,29,,,60
63,7,29,30,1.0,True,True,0,False,30,,,60
63,7,30,31,,True,False,0,False,31,,,60
63,7,31,32,2.0,True,True,0,False,32,,,60
63,7,32,33,,True,False,0,False,33,,,60
63,7,33,34,,True,False,0,False,34,,,60
63,7,34,35,,True,False,0,False,35,,,60
63,7,35,36,,True,False,0,False,36,,,60
63,7,36,37,,True,False,0,False,37,,,60
63,7,37,38,,True,False,0,False,38,,,60
63,7,38,39,,True,False,0,False,39,,,60
63,7,39,40,,True,False,0,False,40,,,60
63,7,40,41,,True,False,0,False,41,,,60
63,7,41,42,,True,False,0,False,42,,,60
63,7,42,43,,True,False,0,False,43,,,60
63,7,43,44,,True,False,0,False,44,,,60
63,7,44,45,,True,False,0,False,45,,,60
63,7,45,46,,True,False,0,False,46,,,60
63,7,46,47,,True,False,0,False,47,,,60
63,7,47,48,,True,False,0,False,48,,,60
63,7,48,49,,True,False,0,False,49,,,60
63,7,49,50,,True,False,0,False,50,,,60
63,7,50,51,,True,False,0,False,51,,,60
63,7,51,52,8.0,True,True,0,False,52,,,60
63,7,52,53,,True,False,0,False,53,,,60
63,7,53,54,,True,False,0,False,54,,,60
63,7,54,55,,True,False,0,False,55,,,60
63,7,55,56,,True,False,0,False,56,,,60
63,7,56,57,,True,False,0,False,57,,,60
63,7,57,58,,True,False,0,False,58,,,60
63,7,58,59,,True,False,0,False,59,,,60
63,7,59,60,,True,False,0,False,60,,,60
63,8,0,1,4.0,True,True,0,False,1,,,60
63,8,1,2,5.0,True,True,0,False,2,,,60
63,8,2,3,9.0,True,True,0,False,3,,,60
63,8,3,4,6.0,True,True,0,False,4,,,60
63,8,4,5,,True,False,0,False,5,,,60
63,8,5,6,8.0,True,True,0,False,6,,,60
63,8,6,7,,True,False,0,False,7,,,60
63,8,7,8,,True,False,0,False,8,,,60
63,8,8,9,7.0,True,True,0,False,9,,,60
63,8,9,10,3.0,True,True,0,False,10,,,60
63,8,10,11,,True,False,0,False,11,,,60
63,8,11,12,,True,False,0,False,12,,,60
63,8,12,13,,True,False,0,False,13,,,60
63,8,13,14,,True,False,0,False,14,,,60
63,8,14,15,,True,False,0,False,15,,,60
63,8,15,16,,True,False,0,False,16,,,60
63,8,16,17,,True,False,0,False,17,,,60
63,8,17,18,,True,False,0,False,18,,,60
63,8,18,19,,True,False,0,False,19,,,60
63,8,19,20,,True,False,0,False,20,,,60
63,8,20,21,,True,False,0,False,21,,,60
63,8,21,22,,True,False,0,False,22,,,60
63,8,22,23,,True,False,0,False,23,,,60
63,8,23,24,,True,False,0,False,24,,,60
63,8,24,25,,True,False,0,False,25,,,60
63,8,25,26,,True,False,0,False,26,,,60
63,8,26,27,,True,False,0,False,27,,,60
63,8,27,28,,True,False,0,False,28,,,60
63,8,28,29,,True,False,0,False,29,,,60
63,8,29,30,,True,False,0,False,30,,,60
63,8,30,31,,True,False,0,False,31,,,60
63,8,31,32,,True,False,0,False,32,,,60
63,8,32,33,,True,False,0,False,33,,,60
63,8,33,34,,True,False,0,False,34,,,60
63,8,34,35,,True,False,0,False,35,,,60
63,8,35,36,,True,False,0,False,36,,,60
63,8,36,37,,True,False,0,False,37,,,60
63,8,37,38,,True,False,0,False,38,,,60
63,8,38,39,,True,False,0,False,39,,,60
63,8,39,40,,True,False,0,False,40,,,60
63,8,40,41,,True,False,0,False,41,,,60
63,8,41,42,,True,False,0,False,42,,,60
63,8,42,43,,True,False,0,False,43,,,60
63,8,43,44,,True,False,0,False,44,,,60
63,8,44,45,,True,False,0,False,45,,,60
63,8,45,46,2.0,True,True,0,False,46,,,60
63,8,46,47,,True,False,0,False,47,,,60
63,8,47,48,,True,False,0,False,48,,,60
63,8,48,49,1.0,True,True,0,False,49,,,60
63,8,49,50,,True,False,0,False,50,,,60
63,8,50,51,,True,False,0,False,51,,,60
63,8,51,52,,True,False,0,False,52,,,60
63,8,52,53,,True,False,0,False,53,,,60
63,8,53,54,,True,False,0,False,54,,,60
63,8,54,55,,True,False,0,False,55,,,60
63,8,55,56,,True,False,0,False,56,,,60
63,8,56,57,,True,False,0,False,57,,,60
63,8,57,58,,True,False,0,False,58,,,60
63,8,58,59,,True,False,0,False,59,,,60
63,8,59,60,,True,False,0,False,60,,,60
63,9,0,1,,True,False,0,False,1,,,60
63,9,1,2,,True,False,0,False,2,,,60
63,9,2,3,,True,False,0,False,3,,,60
63,9,3,4,,True,False,0,False,4,,,60
63,9,4,5,,True,False,0,False,5,,,60
63,9,5,6,,True,False,0,False,6,,,60
63,9,6,7,4.0,True,True,0,False,7,,,60
63,9,7,8,5.0,True,True,0,False,8,,,60
63,9,8,9,,True,False,0,False,9,,,60
63,9,9,10,,True,False,0,False,10,,,60
63,9,10,11,6.0,True,True,0,False,11,,,60
63,9,11,12,,True,False,0,False,12,,,60
63,9,12,13,,True,False,0,False,13,,,60
63,9,13,14,,True,False,0,False,14,,,60
63,9,14,15,1.0,True,True,0,False,15,,,60
63,9,15,16,,True,False,0,False,16,,,60
63,9,16,17,,True,False,0,False,17,,,60
63,9,17,18,,True,False,0,False,18,,,60
63,9,18,19,,True,False,0,False,19,,,60
63,9,19,20,,True,False,0,False,20,,,60
63,9,20,21,,True,False,0,False,21,,,60
63,9,21,22,,True,False,0,False,22,,,60
63,9,22,23,,True,False,0,False,23,,,60
63,9,23,24,3.0,True,True,0,False,24,,,60
63,9,24,25,,True,False,0,False,25,,,60
63,9,25,26,,True,False,0,False,26,,,60
63,9,26,27,,True,False,0,False,27,,,60
63,9,27,28,,True,False,0,False,28,,,60
63,9,28,29,,True,False,0,False,29,,,60
63,9,29,30,,True,False,0,False,30,,,60
63,9,30,31,,True,False,0,False,31,,,60
63,9,31,32,10.0,True,True,0,False,32,,,60
63,9,32,33,,True,False,0,False,33,,,60
